City,GDP (USD Billion),Population (Millions),Unemployment Rate (%),Average Age,Women (%),Men (%),Budget (USD Billion),Cluster
Bogotá,1.0,1.0,0.10156250000000006,0.8571428571428571,0.6666666666666666,0.3333333333333333,1.0,3
Medellín,0.4227405247813411,0.35704323570432356,0.15625,0.7142857142857143,1.0,0.0,0.415041782729805,4
Cali,0.21185617103984447,0.3096234309623431,0.3593750000000001,0.5714285714285714,0.6666666666666666,0.3333333333333333,0.23119777158774377,4
Barranquilla,0.1574344023323615,0.1701534170153417,0.25000000000000006,0.42857142857142855,0.3333333333333333,0.6666666666666666,0.16991643454039,1
Cartagena,0.09620991253644315,0.14225941422594143,0.13281250000000008,0.5714285714285714,0.3333333333333333,0.6666666666666666,0.15320334261838442,1
Pereira,0.054421768707483,0.06555090655509065,0.21875000000000006,0.8571428571428571,0.6666666666666666,0.3333333333333333,0.06963788300835655,2
Santa Marta,0.03304178814382896,0.07112970711297072,0.18750000000000003,0.42857142857142855,0.3333333333333333,0.6666666666666666,0.04735376044568245,1
Manizales,0.031098153547133134,0.058577405857740586,0.1171875,0.8571428571428571,1.0,0.0,0.04178272980501393,2
Villavicencio,0.028182701652089404,0.06834030683403068,0.29687500000000006,0.5714285714285714,0.3333333333333333,0.6666666666666666,0.04178272980501393,1
Pasto,0.025267249757045675,0.061366806136680614,0.28906250000000006,0.7142857142857143,0.6666666666666666,0.3333333333333333,0.0362116991643454,2
Montería,0.02332361516034985,0.06694560669456066,0.33593750000000006,0.42857142857142855,0.3333333333333333,0.6666666666666666,0.0362116991643454,1
Valledupar,0.02137998056365403,0.06415620641562064,0.4375000000000001,0.2857142857142857,0.3333333333333333,0.6666666666666666,0.03064066852367688,5
Neiva,0.0184645286686103,0.04741980474198047,0.3828125,0.5714285714285714,0.6666666666666666,0.3333333333333333,0.03064066852367688,2
Popayán,0.016520894071914476,0.044630404463040445,0.46875,0.7142857142857143,0.6666666666666666,0.3333333333333333,0.02506963788300836,2
Armenia,0.014577259475218658,0.0404463040446304,0.3203125000000001,0.8571428571428571,1.0,0.0,0.02506963788300836,2
Sincelejo,0.013605442176870746,0.03765690376569038,0.5703125,0.42857142857142855,0.3333333333333333,0.6666666666666666,0.02506963788300836,5
Tunja,0.011661807580174929,0.03347280334728033,0.06250000000000006,0.7142857142857143,0.6666666666666666,0.3333333333333333,0.019498607242339837,2
Florencia,0.010689990281827016,0.026499302649930265,0.6484375,0.2857142857142857,0.3333333333333333,0.6666666666666666,0.019498607242339837,5
Riohacha,0.008746355685131196,0.029288702928870293,0.5078125,0.14285714285714285,0.3333333333333333,0.6666666666666666,0.01392757660167131,5
Quibdó,0.006802721088435375,0.01673640167364017,0.703125,0.0,0.6666666666666666,0.3333333333333333,0.01392757660167131,5
San Andrés,0.005830903790087463,0.009762900976290099,0.37500000000000006,0.14285714285714285,0.0,1.0,0.008356545961002788,0
Yopal,0.004859086491739554,0.019525801952580194,0.17968750000000006,0.42857142857142855,0.3333333333333333,0.6666666666666666,0.008356545961002788,1
Leticia,0.003887269193391642,0.005578800557880056,0.34375,0.0,0.3333333333333333,0.6666666666666666,0.0027855153203342623,5
Mitú,0.0009718172983479103,0.0,0.84375,0.42857142857142855,0.3333333333333333,0.6666666666666666,0.0,5
